pin,slack
PWMctr_0/timer[15]:ADn,
PWMctr_0/timer[15]:ALn,
PWMctr_0/timer[15]:CLK,4858
PWMctr_0/timer[15]:D,2896
PWMctr_0/timer[15]:EN,
PWMctr_0/timer[15]:LAT,
PWMctr_0/timer[15]:Q,4858
PWMctr_0/timer[15]:SD,
PWMctr_0/timer[15]:SLn,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_71:A,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_71:B,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_71:C,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_71:IPB,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_230:A,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_230:B,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_230:C,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_230:IPA,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_230:IPB,
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_0[7]:A,6947
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_0[7]:B,7087
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_0[7]:C,2717
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_0[7]:D,2717
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_0[7]:Y,2717
LCD_RGB_0/data_reg_2_8_0__m94_1_0_0_wmux_0:A,34598
LCD_RGB_0/data_reg_2_8_0__m94_1_0_0_wmux_0:B,36697
LCD_RGB_0/data_reg_2_8_0__m94_1_0_0_wmux_0:C,35542
LCD_RGB_0/data_reg_2_8_0__m94_1_0_0_wmux_0:CC,
LCD_RGB_0/data_reg_2_8_0__m94_1_0_0_wmux_0:D,35536
LCD_RGB_0/data_reg_2_8_0__m94_1_0_0_wmux_0:P,
LCD_RGB_0/data_reg_2_8_0__m94_1_0_0_wmux_0:UB,
LCD_RGB_0/data_reg_2_8_0__m94_1_0_0_wmux_0:Y,34598
LCD_RGB_0/data_reg_2_8_0__m100:A,37467
LCD_RGB_0/data_reg_2_8_0__m100:B,36477
LCD_RGB_0/data_reg_2_8_0__m100:C,37383
LCD_RGB_0/data_reg_2_8_0__m100:D,37247
LCD_RGB_0/data_reg_2_8_0__m100:Y,36477
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:ALn,4604
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:CLK,6125
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:D,7175
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:EN,3546
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:Q,6125
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:SD,
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:SLn,
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:ALn,4649
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:CLK,4803
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:D,7129
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:EN,3546
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:Q,4803
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:SD,
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:SLn,
LCD_RGB_0/cnt_scan_ns_i_a3_0_3[0]:A,37633
LCD_RGB_0/cnt_scan_ns_i_a3_0_3[0]:B,37590
LCD_RGB_0/cnt_scan_ns_i_a3_0_3[0]:C,37431
LCD_RGB_0/cnt_scan_ns_i_a3_0_3[0]:D,36554
LCD_RGB_0/cnt_scan_ns_i_a3_0_3[0]:Y,36554
corepwm_0/genblk6_corepwm_pwm_gen/m10_1:A,4374
corepwm_0/genblk6_corepwm_pwm_gen/m10_1:B,4448
corepwm_0/genblk6_corepwm_pwm_gen/m10_1:Y,4374
LCD_RGB_0/data_reg_2_8_0__m90:A,34762
LCD_RGB_0/data_reg_2_8_0__m90:B,34736
LCD_RGB_0/data_reg_2_8_0__m90:Y,34736
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:A,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:B,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:C,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:IPA,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:IPB,
reg_apb_wrp_0/reg16x8_0/mem_2__RNIE2FF[6]:A,6256
reg_apb_wrp_0/reg16x8_0/mem_2__RNIE2FF[6]:B,
reg_apb_wrp_0/reg16x8_0/mem_2__RNIE2FF[6]:C,6077
reg_apb_wrp_0/reg16x8_0/mem_2__RNIE2FF[6]:Y,6077
LCD_RGB_0/data_reg_20_3_1[0]:A,36579
LCD_RGB_0/data_reg_20_3_1[0]:B,33621
LCD_RGB_0/data_reg_20_3_1[0]:C,33539
LCD_RGB_0/data_reg_20_3_1[0]:Y,33539
corepwm_0/genblk3_corepwm_reg_if/PRDATA_regif_5[7]:A,4332
corepwm_0/genblk3_corepwm_reg_if/PRDATA_regif_5[7]:B,3187
corepwm_0/genblk3_corepwm_reg_if/PRDATA_regif_5[7]:C,6028
corepwm_0/genblk3_corepwm_reg_if/PRDATA_regif_5[7]:D,4026
corepwm_0/genblk3_corepwm_reg_if/PRDATA_regif_5[7]:Y,3187
LCD_RGB_0/un1_lcd_cs_out_4lto7:A,35650
LCD_RGB_0/un1_lcd_cs_out_4lto7:B,33596
LCD_RGB_0/un1_lcd_cs_out_4lto7:C,35541
LCD_RGB_0/un1_lcd_cs_out_4lto7:D,35463
LCD_RGB_0/un1_lcd_cs_out_4lto7:Y,33596
LCD_RGB_0/data_reg_2_8_0__m30:A,34297
LCD_RGB_0/data_reg_2_8_0__m30:B,37528
LCD_RGB_0/data_reg_2_8_0__m30:C,34273
LCD_RGB_0/data_reg_2_8_0__m30:Y,34273
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[4]_psh_negedge_reg[52]:ADn,
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[4]_psh_negedge_reg[52]:ALn,
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[4]_psh_negedge_reg[52]:CLK,4103
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[4]_psh_negedge_reg[52]:D,7129
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[4]_psh_negedge_reg[52]:EN,3242
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[4]_psh_negedge_reg[52]:LAT,
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[4]_psh_negedge_reg[52]:Q,4103
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[4]_psh_negedge_reg[52]:SD,
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[4]_psh_negedge_reg[52]:SLn,
PWMctr_0/timer[13]:ADn,
PWMctr_0/timer[13]:ALn,
PWMctr_0/timer[13]:CLK,4980
PWMctr_0/timer[13]:D,6990
PWMctr_0/timer[13]:EN,
PWMctr_0/timer[13]:LAT,
PWMctr_0/timer[13]:Q,4980
PWMctr_0/timer[13]:SD,
PWMctr_0/timer[13]:SLn,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_147_rs_RNI3C1M:A,6208
reg_apb_wrp_0/reg16x8_0/un1_data_out8_147_rs_RNI3C1M:B,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_147_rs_RNI3C1M:C,6034
reg_apb_wrp_0/reg16x8_0/un1_data_out8_147_rs_RNI3C1M:Y,6034
reg_apb_wrp_0/reg16x8_0/data_out_2_15_i_2[6]:A,4924
reg_apb_wrp_0/reg16x8_0/data_out_2_15_i_2[6]:B,4881
reg_apb_wrp_0/reg16x8_0/data_out_2_15_i_2[6]:C,2639
reg_apb_wrp_0/reg16x8_0/data_out_2_15_i_2[6]:D,2582
reg_apb_wrp_0/reg16x8_0/data_out_2_15_i_2[6]:Y,2582
reg_apb_wrp_0/reg16x8_0/un1_data_out8_6_set_RNIPDKE:A,6299
